game,tags,score,picture,introduction
罪恶装备xrd启示者 Guilty Gear Xrd REVELATOR,格斗,8.4,https://img3.doubanio.com/lpic/s29512880.jpg,作为登录次世代的罪恶装备第二作，在前作Xrd的基础上，增加至少4名新角色（1名全新），并且系统进行较大更改（新增解拆投、burst强化技能）。
动物之森 どうぶつの森,模拟,7.6,https://img3.doubanio.com/lpic/s29639042.jpg,《动物之森》（日版名：どうぶつの森，英文版名：Animal Crossing，神游机版名“动物森林”），是由任天堂情报开发本部所开发制造的电子游戏，于2001年在日本发行后，接着在2002年9月15日于美国发行的版本有新增的要素，稍后则是发行了Player's Choice的版本，这个游戏使用了GameCube的内建时钟去创造一个持续发展的世界。
樱花大战4：恋爱吧! 少女 サクラ大戦4 〜恋せよ乙女〜,"角色扮演, 冒险, 策略",8.9,https://img3.doubanio.com/lpic/s25141992.jpg,"在樱花系列前3部作品中共13名人物本次将全部出场，在各大事件中露面。帝都，巴里，花组的两名成员以及大神，都会在游戏中一一出现。"
特鲁尼克大冒险2 不可思议的迷宫 ドラゴンクエストキャラクターズ トルネコの大冒険2 不思議のダンジョン,"角色扮演, 冒险, 策略",7.8,https://img3.doubanio.com/lpic/s29681453.jpg,"Chunsoft的不可思议迷宫系列，以enix发行的勇者斗恶龙4中的商人特鲁尼克为主角的不可思议迷宫游戏第二作."
时空之轮2 Chrono Cross,角色扮演,9.1,https://img1.doubanio.com/lpic/s28294188.jpg,Chrono Cross，中译“时空之轮2”或“穿越时空”等，简称CC，登陆平台为索尼PS。它是史克威尔（SQUARE ）单独开发制作的《时空之轮》（《Chrono Trigger》，简称CT）续作，风格与前作有些不同（前作由合并前和SQUARE和ENIX合作开发），但两部游戏的经典程度可以说不相伯仲，均是RPG史上的最佳作品之一。
鬼武者2 Onimusha 2,"冒险, 动作",8.8,https://img3.doubanio.com/lpic/s26303112.jpg,"「鬼武者」系列第二作。第六天魔王·织田信长取代了前作被击败的幻魔王，主角也由明智左马介换成了同继承鬼之血脉的剑豪·柳生十兵卫。美术风格的转变，以及四名个性迥异的伙伴，让鬼武者2呈现出与初代完全不同的风味。"
血源诅咒 Bloodborne,"角色扮演, 动作冒险",9.5,https://img1.doubanio.com/lpic/s29376167.jpg,"《血源诅咒》是FromSoftware为PS4专门制作的一款第三人称背后视角的动作冒险游戏，在公布之初就以阴森恐怖的世界设定以及爽快的动作场面吸引了无数玩家。"
喷射战士 Splatoon,射击,9.4,https://img3.doubanio.com/lpic/s28096464.jpg,任天堂原创在线射击游戏，以颜料为武器，侵占面积大的获胜。
日落过载 Sunset Overdrive,"射击, 冒险, 动作",8.7,https://img3.doubanio.com/lpic/s27282075.jpg,《日落过载》是一款结合了跑酷与射击分割独特的开放性世界游戏，在这部游戏中玩家的游戏体验每天都会有所不同，因为游戏中的任务、武器、挑战每天都会不断通过Xbox One的云技术更新和变化。事实上，早前公布的E3展预告就已经泄漏本作将会存在多人模式：一个风格不羁的青年一路跑上跳下，还不忘爆掉路过怪物的大脑，最后在及时赶到的同伴的帮助下消灭了成群的敌人。《日落过载》将在今年晚些时候上市，为Xbox One独占游戏，敬请期待!
终极街头霸王4 Ultra Street Fighter IV,格斗,8.8,https://img3.doubanio.com/lpic/s29927251.jpg,卡普空在美国举行的格斗游戏“Evolution 2013”大会上宣布《超级街头霸王(Super Street Fighter 4)》的最新作——《终极街头霸王4(Ultra Street Fighter 4)》，同时还公布了新作的首支预告片。在新作中增加了5角色，包括军人罗兰特(Rolento)、皮鞭御姐猛毒(Poison) 、雨果(Hugo)与性感女孩爱莲娜(Elena)和一位尚未公布的全新角色。《终极街头霸王4》预定于2014年下半年登陆PS3与Xbox360平台，数字下载版售价15美元、完整版为40美元（含DLC等内容）；PC版暂无消息。
龙腾世纪：审判 Dragon Age: Inquisition,"角色扮演, 动作",8,https://img3.doubanio.com/lpic/s27974633.jpg,"Dragon Age: Inquisition is an upcoming action role-playing video game[5] developed by BioWare and published by Electronic Arts.[6][7] It is a sequel to Dragon Age: Origins and Dragon Age II, making it the third major game in the Dragon Age franchise.[6][8]"
机动战士高达极限对决：全力加速 機動戦士ガンダム EXTREME VS. FULL BOOST,"格斗, 动作",8.9,https://img1.doubanio.com/lpic/s29601437.jpg,机动战士高达 Extreme VS Full Boost （高达EXVS FB），是前作高达EXVS的加强版，PS3版移植于街机平台，于2014年1月30发售。继承了高达VS系列爽快和华丽的特点，追加了不少新机体，可操作机体达90台以上。可通过PSN对战，可玩性和耐玩性极佳，是高达VS系列的集大成之作。
